dataset,model,repeat,R2,MSE,MAE,RMSE,alpha,n_selected
y1_no_noise,LARS,9,1.0,3.0814879110195774e-33,1.850371707708594e-17,5.551115123125783e-17,0.0,2.0
y1_no_noise,OLS,10,1.0,2.0543252740130517e-32,7.401486830834377e-17,1.4332917616497527e-16,,
y1_no_noise,Ridge,10,0.99999999967619,6.952423803829225e-11,6.945395392333557e-06,8.338119574477944e-06,0.001,
y1_no_noise,Lasso,10,0.9999999415551738,1.2548506578663618e-08,9.281123166446359e-05,0.00011202011684810732,0.0001,2.0
y1_no_noise,LARS,10,1.0,2.516548460665988e-32,7.864079757761526e-17,1.586363281428938e-16,0.0,2.0
y1_no_noise,OLS,11,1.0,3.389636702121535e-32,1.2027416100105862e-16,1.8410966031475738e-16,,
y1_no_noise,Ridge,11,0.9999999996691991,9.239491065673848e-11,8.186743355393747e-06,9.61222714342199e-06,0.001,
y1_no_noise,Lasso,11,0.9999999441629276,1.5595667164864113e-08,0.00010048401429450331,0.00012488261354113355,0.0001,2.0
y1_no_noise,LARS,11,1.0,3.543711097672514e-32,1.3415194880887307e-16,1.8824747269678055e-16,0.0,2.0
y1_no_noise,OLS,12,1.0,1.756448109281159e-31,2.9605947323337506e-16,4.1910000110727263e-16,,
y1_no_noise,Ridge,12,0.9999999996536503,1.253447283578043e-10,1.0339137364909212e-05,1.1195745993805161e-05,0.001,
y1_no_noise,Lasso,12,0.9999999232491874,2.7776286638629218e-08,0.00013729111637335775,0.00016666219318918498,0.0001,2.0
y1_no_noise,LARS,12,1.0,9.501254392310363e-32,2.4517425127138875e-16,3.0824104840709263e-16,0.0,2.0
y1_no_noise,OLS,13,1.0,3.338278570271209e-32,1.1564823173178715e-16,1.827095665330967e-16,,
y1_no_noise,Ridge,13,0.9999999996804321,7.301699486452123e-11,7.246237585092907e-06,8.544998236659925e-06,0.001,
y1_no_noise,Lasso,13,0.9999999193221475,1.843380830250325e-08,0.00010804517809063589,0.00013577116152741438,0.0001,2.0
y1_no_noise,LARS,13,1.0,3.492352965822188e-32,1.2027416100105862e-16,1.868783819980842e-16,0.0,2.0
y1_no_noise,OLS,14,1.0,9.449896260460038e-32,2.4054832200211723e-16,3.074068356504136e-16,,
y1_no_noise,Ridge,14,0.9999999996801432,7.477885965335515e-11,7.360772668117225e-06,8.647477068680503e-06,0.001,
y1_no_noise,Lasso,14,0.9999999421534409,1.352386107327123e-08,9.260761230527974e-05,0.00011629213676457764,0.0001,2.0
y1_no_noise,LARS,14,1.0,6.36840834944046e-32,1.942890293094024e-16,2.523570555669181e-16,0.0,2.0
y1_no_noise,OLS,15,1.0,8.679524282705143e-32,2.0816681711721685e-16,2.946103236939456e-16,,
y1_no_noise,Ridge,15,0.999999999693647,7.294346471497388e-11,7.322401993622996e-06,8.540694627193614e-06,0.001,
y1_no_noise,Lasso,15,0.9999999248112729,1.7902631413854382e-08,0.00010642431027141352,0.00013380071529649752,0.0001,2.0
y1_no_noise,LARS,15,1.0,6.830631536093397e-32,1.8041124150158794e-16,2.613547691566656e-16,0.0,2.0
y1_no_noise,OLS,16,1.0,2.7733391199176196e-32,1.0177044392397268e-16,1.6653345369377348e-16,,
y1_no_noise,Ridge,16,0.9999999996576876,9.209054803588409e-11,7.881234867066858e-06,9.596382028446142e-06,0.001,
y1_no_noise,Lasso,16,0.9999999469155905,1.428102748859172e-08,9.189310125130394e-05,0.00011950325304606449,0.0001,2.0
y1_no_noise,LARS,16,1.0,2.619264724366641e-32,1.1564823173178715e-16,1.6184142622847344e-16,0.0,2.0
y1_no_noise,OLS,17,1.0,4.776306262080345e-32,1.5265566588595902e-16,2.1854762094519229e-16,,
y1_no_noise,Ridge,17,0.9999999996614126,8.645640695768976e-11,7.956555815609908e-06,9.29819374705054e-06,0.001,
y1_no_noise,Lasso,17,0.999999939599649,1.542289303166312e-08,9.43313843692802e-05,0.00012418894085893125,0.0001,2.0
y1_no_noise,LARS,17,1.0,3.59506922952284e-32,1.295260195396016e-16,1.896066778761455e-16,0.0,2.0
y1_no_noise,OLS,18,1.0,1.011755197451428e-31,2.544261098099317e-16,3.18080995573679e-16,,
y1_no_noise,Ridge,18,0.9999999996898854,9.381977270398093e-11,8.639309652521318e-06,9.686060742323523e-06,0.001,
y1_no_noise,Lasso,18,0.9999999493697274,1.5317305090373223e-08,0.00010026209470318885,0.00012376310068179942,0.0001,2.0
y1_no_noise,LARS,18,1.0,1.0477058897466563e-31,2.312964634635743e-16,3.236828524569469e-16,0.0,2.0
y1_no_noise,OLS,19,1.0,1.3969411863288751e-31,2.868076146948321e-16,3.737567639961684e-16,,
y1_no_noise,Ridge,19,0.9999999996751634,1.3789764661473342e-10,1.0458540674186204e-05,1.1742982867003316e-05,0.001,
y1_no_noise,Lasso,19,0.9999999240008494,3.22626891589525e-08,0.00015013840756443464,0.00017961817602612633,0.0001,2.0
y1_no_noise,LARS,19,1.0,1.5561513950648866e-31,3.3769283665681843e-16,3.9448084808579573e-16,0.0,2.0
y1_no_noise,OLS,20,1.0,3.2869204384208823e-32,9.251858538542972e-17,1.8129866073473578e-16,,
y1_no_noise,Ridge,20,0.9999999996633125,9.816682202817554e-11,8.503637161270486e-06,9.907917138741903e-06,0.001,
y1_no_noise,Lasso,20,0.9999999596919292,1.1752488911137666e-08,8.565127088067115e-05,0.00010840889682649513,0.0001,2.0
y1_no_noise,LARS,20,1.0,1.232595164407831e-32,3.700743415417188e-17,1.1102230246251565e-16,0.0,2.0
y1_no_noise,OLS,21,1.0,3.9545761524751245e-32,1.4340380734741606e-16,1.9886116142864912e-16,,
y1_no_noise,Ridge,21,0.9999999996582574,7.173013530664846e-11,6.950997263416303e-06,8.469364516104409e-06,0.001,
y1_no_noise,Lasso,21,0.9999999086767849,1.9168303024846223e-08,0.00010836907998632017,0.00013844964075376368,0.0001,2.0
y1_no_noise,LARS,21,1.0,5.187171316882955e-32,1.7115938296304497e-16,2.2775362383248605e-16,0.0,2.0
y1_no_noise,OLS,22,1.0,3.749143625073819e-32,1.1564823173178715e-16,1.9362705454232937e-16,,
y1_no_noise,Ridge,22,0.9999999996876338,8.830279787570636e-11,7.745672981789483e-06,9.396956841217605e-06,0.001,
y1_no_noise,Lasso,22,0.9999999413623158,1.6576285690760498e-08,0.0001003803240276907,0.00012874892500817434,0.0001,2.0
y1_no_noise,LARS,22,1.0,4.57087373467904e-32,1.3415194880887307e-16,2.137960180798286e-16,0.0,2.0
y1_no_noise,OLS,23,1.0,5.289887580583608e-32,1.5265566588595902e-16,2.299975560866595e-16,,
y1_no_noise,Ridge,23,0.9999999996601713,1.0213171587125348e-10,8.467595568106834e-06,1.0106023741870662e-05,0.001,
y1_no_noise,Lasso,23,0.999999948772498,1.5395851316839917e-08,9.711065351100667e-05,0.00012408001981318312,0.0001,2.0
y1_no_noise,LARS,23,1.0,2.9787716473189246e-32,1.0177044392397268e-16,1.725911830690932e-16,0.0,2.0
y1_no_noise,OLS,24,1.0,4.468157470978387e-32,1.3415194880887307e-16,2.1138016631127878e-16,,
y1_no_noise,Ridge,24,0.999999999682958,1.1318366248963926e-10,9.546975653251799e-06,1.0638781062210052e-05,0.001,
y1_no_noise,Lasso,24,0.9999999496183491,1.798620180872967e-08,0.00011397250060550534,0.0001341126459687142,0.0001,2.0
y1_no_noise,LARS,24,1.0,6.830631536093397e-32,1.8041124150158794e-16,2.613547691566656e-16,0.0,2.0
y2_noisy,OLS,0,0.8663746782149239,0.2579783097125586,0.4059616310728136,0.5079156521633869,,
y2_noisy,Ridge,0,0.869671652029682,0.25161314089174264,0.4033586737016564,0.5016105470300067,0.4893900918477494,
y2_noisy,Lasso,0,0.9008347435238495,0.19144938179514126,0.35059414221603774,0.43754929070350607,0.01743328822199989,13.0
y2_noisy,LARS,0,0.9088489155133939,0.17597714557531952,0.3341281843362041,0.4194962998350754,0.055628301690320923,5.0
y2_noisy,OLS,1,0.8640086996965749,0.1867492806648804,0.3804241879912465,0.43214497644295297,,
y2_noisy,Ridge,1,0.8661058928886367,0.18386932202665143,0.37716995672530756,0.42879986243777113,1.2689610031679222,
y2_noisy,Lasso,1,0.8838943429914293,0.15944143396743302,0.35517842038839764,0.39930118202609044,0.03856620421163472,6.0
y2_noisy,LARS,1,0.8850317594862073,0.1578794832268914,0.3514397055222438,0.3973405129443654,5.0,5.0
y2_noisy,OLS,2,0.8739625611531631,0.18502611466417987,0.33723124207700944,0.4301466199613567,,
y2_noisy,Ridge,2,0.884482087960478,0.16958318603066133,0.31879572837750036,0.41180479117011415,2.0433597178569416,
y2_noisy,Lasso,2,0.8862421016334959,0.16699944190943974,0.31760483934043443,0.40865565199742404,0.03856620421163472,5.0
y2_noisy,LARS,2,0.8860412931981512,0.16729423371831467,0.31960270647981687,0.4090161778197956,0.033879606112200616,5.0
y2_noisy,OLS,3,0.875418306457223,0.18514080619605303,0.36513651766578725,0.43027991609654875,,
y2_noisy,Ridge,3,0.868994920334983,0.19468659780765685,0.3697195608169475,0.4412330425156947,2.0433597178569416,
y2_noisy,Lasso,3,0.905700489279138,0.14013846611227043,0.3044739596323456,0.37435072607418624,0.03856620421163472,8.0
y2_noisy,LARS,3,0.906737574301599,0.13859725446477955,0.30208649495862233,0.3722865220025828,0.040508704542494306,8.0
y2_noisy,OLS,4,0.9018047885109534,0.17167666373505974,0.34078243714142903,0.41433882721157056,,
y2_noisy,Ridge,4,0.9045316630365965,0.1669092141426859,0.33835396390203326,0.40854524124347097,2.0433597178569416,
y2_noisy,Lasso,4,0.9162576810891518,0.14640838087767136,0.2969796856824458,0.3826334811247852,0.05736152510448681,4.0
y2_noisy,LARS,4,0.9236026727454729,0.13356698419857035,0.2807692443413341,0.3654681712523956,5.0,5.0
y2_noisy,OLS,5,0.9024501670797268,0.16900726453623385,0.3307251526034524,0.41110493129641956,,
y2_noisy,Ridge,5,0.8943903806937201,0.18297102448402017,0.33859335394657747,0.4277511244684462,2.0433597178569416,
y2_noisy,Lasso,5,0.9377111386100397,0.1079168437243524,0.2608900981480837,0.32850699189568616,0.05736152510448681,5.0
y2_noisy,LARS,5,0.938042298072848,0.1073431025578221,0.261237667809233,0.3276325724921472,0.06937409302110131,5.0
y2_noisy,OLS,6,0.8629687651777203,0.2238711771683358,0.39284817275533396,0.4731502691200078,,
y2_noisy,Ridge,6,0.8655427958077858,0.21966592230095094,0.39435774923726563,0.4686853126575986,2.0433597178569416,
y2_noisy,Lasso,6,0.8935570052795394,0.17389844410508112,0.3430877116529818,0.41701132371325494,0.05736152510448681,3.0
y2_noisy,LARS,6,0.900131237461812,0.1631579651220805,0.3353788363858248,0.4039281682701523,4.0,4.0
y2_noisy,OLS,7,0.9020103838378936,0.13159333661914746,0.2843378661912046,0.36275795872612837,,
y2_noisy,Ridge,7,0.9011506333528201,0.132747922578578,0.29758668251861214,0.3643458831640314,2.0433597178569416,
